编号,实体1,关系,实体2
2143,丁晏,mate,未知
4198,王隽,mate,未知
2363,高光,mate,未知
2642,何休,mate,未知
5337,郑称,mate,未知
2328,傅常,mate,未知
3232,刘声叔,mate,未知
4133,万泰,mate,未知
4933,于仇贲,mate,未知
3372,逯式,mate,未知
4699,荀祈,mate,未知
4693,荀辉,mate,未知
5621,宋姬[曹操妃],mate,曹操
3284,刘颖,mate,未知
2805,黄休,mate,未知
2772,桓元将,mate,未知
2904,焦子文,mate,未知
2056,崔述,mate,未知
2942,孔畴,mate,未知
5434,周强,mate,未知
3051,李升,mate,未知
2542,郭训,mate,未知
4276,王休[魏],mate,未知
2356,高赐,mate,未知
2774,桓纂,mate,未知
1935,陈颃,mate,未知
4374,文厚,mate,未知
3641,綦毌君,mate,未知
4208,王悝,mate,未知
2057,崔随,mate,未知
